RBD;NOM_RBD;PACE;COD_COM_RBD
531;COLEGIO PEDRO AGUIRRE CERDA;1;4101
532;CEN.ED.INT.DE ADUL.ESTER VILLARREAL CASTILLO;0;4101
533;COLEGIO DARIO SALAS;0;4101
534;COLEGIO VILLA SAN BARTOLOME;0;4101
535;COLEGIO JOSE MIGUEL CARRERA;1;4101
536;COLEGIO BERNARDA MORIN;0;4101
537;COLEGIO LUIS BRAILLE;0;4101
539;COLEGIO DE ALGARROBITO;0;4101
540;ESCUELA DE ISLON;0;4101
542;ESCUELA DE LAMBERT;0;4101
543;COLEGIO ALTOVALSOL;0;4101
544;ESCUELA DE EL MILAGRO;0;4101
546;COLEGIO COQUIMBITO;0;4101
548;ESCUELA DE COLONIA ALFALFARES;0;4101
549;ESCUELA DE LOS CORRALES;0;4101
550;ESCUELA DE ALMIRANTE LATORRE;0;4101
551;ESCUELA DE LAS ROJAS;0;4101
552;ESCUELA DE CHACAY ALTO;0;4101
553;ESCUELA DE BELLAVISTA;0;4101
554;ESCUELA DE PELICANA;0;4101
556;ESCUELA DE ROMERO;0;4101
557;ESCUELA DE SATURNO;0;4101
558;COLEGIO PUNTA DE TEATINOS;0;4101
559;COLEGIO AGUA GRANDE;0;4101
560;COLEGIO QUEBRADA DE TALCA;0;4101
561;COLEGIO EL ROMERAL;0;4101
562;COLEGIO CALETA SAN PEDRO;0;4101
563;COLEGIO LA LAJA;0;4101
564;COLEGIO LA ESTRELLA;0;4101
565;COLEGIO ADVENTISTA LA SERENA;0;4101
566;COLEGIO ISABEL RIQUELME;0;4101
567;COLEGIO SAN FRANCISCO COLL;0;4101
568;COLEGIO SAN ANTONIO;0;4101
570;COLEGIO ELENA BETTINI;0;4101
571;ESC.ESPEC.LOS PENSAMIENTOS DE JUAN XXIII;0;4101
573;ESCUELA PARTICULAR TERESA VIDELA DE G;0;4101
574;ESCUELA INDUSTRIAL SALESIANA SAN RAMON;0;4101
575;COLEGIO PROVIDENCIA;0;4101
577;COLEGIO JULIA DE LA BARRA CAMPOS;0;4101
578;LICEO BICENTENARIO DE EXCELENCIA IGNACIO CARRERA PINTO;1;4101
579;COLEGIO SEMINARIO CONCILIAR;0;4101
580;COLEGIO GERONIMO RENDIC;0;4101
581;ESCUELA EXPERIMENTAL DE MUSICA JORGE PEÑA HEN;0;4101
582;COLEGIO ANDRES BELLO;0;4101
583;COLEGIO SAGRADOS CORAZONES;0;4101
584;JARDIN INFANTIL MONTESSORI;0;4101
585;COLEGIO THE INTERNATIONAL SCHOOL;0;4101
587;COLEGIO SERENA;0;4101
589;COLEGIO SANTO DOMINGO;0;4101
590;COLEGIO PARTICULAR SAN JOSE;0;4101
591;COLEGIO INGLES CATOLICO;0;4101
592;COLEGIO MARIA AUXILIADORA;0;4101
594;COLEGIO FRANCISCO DE AGUIRRE;0;4101
597;COLEGIO PEDRO PABLO MUÑOZ;1;4104
598;ESCUELA DE PUNTA DE CHOROS;0;4104
599;ESCUELA JOSE SANTOS OSSA;0;4104
600;ESCUELA DE AGUA GRANDE;0;4104
601;ESCUELA DE LOS MORROS;0;4104
602;ESCUELA BASICA CARLOS CONDELL;0;4104
604;ESCUELA DE PUNTA COLORADA;0;4104
606;ESCUELA BASICA SAN ANDRES;0;4104
607;ESCUELA LOS PAJARITOS;0;4104
608;ESCUELA DE LOS CHOROS;0;4104
609;LICEO BICENTENARIO DE EXCELENCIA INSTITUTO SUPERIOR DE COMERCIO DE COQUIMBO;1;4102
610;LICEO INDUSTRIAL JOSE TOMAS DE URMENETA;1;4102
611;LICEO DIEGO PORTALES;1;4102
612;ESCUELA GUILLERMO CERECEDA;0;4102
613;COLEGIO DE ARTES CLAUDIO ARRAU;1;4102
